CENSUS YEAR|TRACT|BLOCK GROUP|FIPS ID|TOTAL POPULATION|POPULATION WHITE|POPULATION BLACK|POPULATION ASIAN|POPULATION OTHER|POPULATION AMERICAN INDIAN|POPULATION PACIFIC ISLANDER|POPULATION ONE RACE|POPULATION MULTI RACE|POPULATION 25 OLDER|MEDIAN AGE|MEDIAN HOUSEHOLD INCOME|HIGH SCHOOL MALE|HIGH SCHOOL MORE MALE|COLLEGE 1 YR LESS MALE|COLLEGE 1 YR MORE MALE|ASSOCIATES DEGREE MALE|BACHELORS DEGREE MALE|MASTERS DEGREE MALE|PROFESSIONAL DEGREE MALE|DOCTORAL DEGREE MALE|HIGH SCHOOL FEMALE|HIGH SCHOOL MORE FEMALE|COLLEGE 1 YR LESS FEMALE|COLLEGE 1 YR MORE FEMALE|ASSOCIATES DEGREE FEMALE|BACHELORS DEGREE FEMALE|MASTERS DEGREE FEMALE|PROFESSIONAL DEGREE FEMALE|DOCTORAL DEGREE FEMALE|PERCENT 25 YR OVER HIGH SCHOOL MORE|HOUSING UNITS|OCCUPIED HOUSING UNITS|OWNER OCCUPIED HOUSING|RENTER OCCUPIED HOUSING|PERCENT OWNER OCCUPIED|PERCENT RENTER OCCUPIED|MEDIAN HOUSE VALUE OWNER OCCUPIED|MEDIAN YEAR BUILT|VACANCY RATES
2010|42.01|6|220330042016|1001|40|939|0|1|0|0|980|21|571|29.9|24198|59|63|0|16|0|47|0|0|0|117|211|11|18|0|118|64|0|0|47.62%|428|360|610|252|70.77%|29.23%|$100300.00|1977|15.89%
2010|42.03|1|220330042031|974|219|728|1|1|18|0|967|7|630|38.200000000000003|-999999|108|145|11|50|0|73|0|11|0|167|146|25|93|0|21|7|0|0|40.31%|435|414|927|455|67.08%|32.92%|$94800.00|1971|4.83%
2010|42.03|2|220330042032|1208|483|703|2|1|0|0|1189|19|748|34.200000000000003|65682|133|183|45|57|20|22|13|0|26|158|177|6|28|15|56|72|0|0|49.47%|461|374|837|227|78.67%|21.33%|$102900.00|1964|18.87%
2010|42.03|3|220330042033|1105|39|1042|0|9|1|0|1091|14|675|35.5|28387|124|118|7|14|0|85|12|0|0|129|146|28|47|8|59|4|0|0|40.9%|472|410|920|284|76.41%|23.59%|$87700.00|1974|13.14%
2010|42.04|1|220330042041|1043|298|712|1|8|7|0|1026|17|568|27.8|51420|99|138|55|76|0|7|0|0|0|268|91|30|58|3|0|0|0|0|34.86%|410|359|702|394|64.05%|35.950000000000003%|$123300.00|1973|12.44%
2010|42.04|2|220330042042|1481|257|1169|9|30|0|0|1465|16|864|29.6|35980|193|153|10|67|19|47|0|10|0|236|226|54|117|0|45|10|0|0|38.880000000000003%|682|682|1451|614|70.27%|29.73%|$96200.00|1979|0%
2010|42.04|3|220330042043|1657|433|1194|3|3|3|0|1636|21|1070|38.200000000000003|26750|201|98|10|56|0|7|15|10|0|235|242|17|120|0|83|7|5|10|33.590000000000003%|610|551|708|643|52.41%|47.59%|$110600.00|1971|9.67%
2010|42.05|1|220330042051|1070|270|789|0|1|4|0|1064|6|656|31.8|50459|106|125|0|67|28|0|0|15|15|134|118|11|71|20|11|5|0|0|34.51%|450|410|695|522|57.11%|42.89%|$134700.00|1968|8.89%
2010|42.05|2|220330042052|1751|331|1404|2|1|10|0|1748|3|1129|36.9|54405|86|312|25|110|0|108|69|0|0|206|416|17|93|46|187|73|0|0|62.2%|634|592|1684|66|96.23%|3.77%|$155600.00|1977|6.62%
2010|42.05|3|220330042053|784|90|679|1|1|1|0|772|12|437|29.6|51071|153|67|0|53|0|14|0|0|0|72|189|0|108|0|44|37|0|0|47.7%|282|238|583|535|52.15%|47.85%|$127500.00|1976|15.6%
2010|42.05|4|220330042054|2224|355|1822|8|13|1|0|2199|25|1316|31.1|28732|66|269|38|174|19|38|0|0|0|386|407|75|205|0|86|41|0|0|52.13%|939|811|1137|964|54.12%|45.88%|$94200.00|1983|13.63%
